,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Speech Level,Model,Token,SHAP Value,Cue Type
0,0,0,0,0,6,kobert,▁담,0.0001987984869629,
1,1,1,1,1,6,kobert,▁어,-0.0002036971854977,Sentence ending
2,2,2,2,2,6,kobert,봐야,0.000239292756305,Sentence ending
3,3,3,3,3,6,kobert,,0.0006609254399437,Other
4,4,4,4,4,6,kobert,▁가장,-0.000666320323944,
5,5,5,5,5,6,kobert,▁괜찮,0.0006898979190737,
6,6,6,6,6,6,kobert,▁등,0.0007342183962464,
7,7,7,7,7,6,kobert,강,-0.000938736309763,
8,8,8,8,8,6,kobert,▁바,-0.0009427109733223,
9,9,9,9,9,6,kobert,▁달,0.0012851022183895,
10,10,10,10,10,6,kobert,▁될,0.0013889486290281,
11,11,11,11,11,6,kobert,▁만에,0.0014043462579138,
12,12,12,12,12,6,kobert,희,0.0015051963855512,
13,13,13,13,13,6,kobert,둥,0.0016403034048077,
14,14,14,14,14,6,kobert,▁틀,-0.0017044596606865,
15,15,15,15,15,6,kobert,봐,-0.0018635541200637,
16,16,16,16,16,6,kobert,▁있,0.0018749793525785,
17,17,17,17,17,6,kobert,원이,-0.0020166002213954,
18,18,18,18,18,6,kobert,▁큰,0.0021141469478607,
19,19,19,19,19,6,kobert,면,-0.0021218983456492,
20,20,20,20,20,6,kobert,!,-0.0021246864489512,
21,21,21,21,21,6,kobert,들이,-0.0024120576563291,
22,22,22,22,22,6,kobert,대,0.0025503466216226,
23,23,23,23,23,6,kobert,왔,0.0025568090762438,
24,24,24,24,24,6,kobert,▁무슨,-0.0025939575862139,
25,25,25,25,25,6,kobert,▁관리,0.0026814769953489,
26,26,26,26,26,6,kobert,탁,-0.0028058271855115,
27,27,27,27,27,6,kobert,해서,-0.0028309756889939,
28,28,28,28,28,6,kobert,앗,-0.0028963284566998,
29,29,29,29,29,6,kobert,▁현실,0.0030234199948608,
30,30,30,30,30,6,kobert,에서는,0.0032236136030405,
31,31,31,31,31,6,kobert,▁버,-0.0033796745895718,
32,32,32,32,32,6,kobert,▁좋았,0.003431495744735,
33,33,33,33,33,6,kobert,▁맞,-0.0035005025638383,
34,34,34,34,34,6,kobert,가지,-0.0036527843913063,
35,35,35,35,35,6,kobert,람,0.0036654050927609,
36,36,36,36,36,6,kobert,른,0.0038318876177072,
37,37,37,37,37,6,kobert,놔,-0.004013380035758,
38,38,38,38,38,6,kobert,▁사람이,0.0040477777947671,
39,39,39,39,39,6,kobert,▁음,-0.0042732860893011,
40,40,40,40,40,6,kobert,필,0.0042930264025926,
